127.0.0.1 - - [06/Sep/2018:19:23:50 +0200] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:03 +0200] "GET /ProjekatWP HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:03 +0200] "GET /ProjekatWP/ HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:04 +0200] "GET /ProjekatWP/css/style.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:04 +0200] "GET /ProjekatWP/js/printNavBar.js HTTP/1.1" 200 5076
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:04 +0200] "GET /ProjekatWP/css/authentication.css HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:05 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:06 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:06 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:06 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:06 +0200] "GET /ProjekatWP/emergencyImages/Bagljas.jpg HTTP/1.1" 200 14982
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/emergency.html?emergencyID=2 HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/css/emergencyStyle.css HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/rest/emergency/2 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:18 +0200] "GET /ProjekatWP/rest/comments/getByEmergency/2 HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:30 +0200] "GET /ProjekatWP/authentication.html HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:30 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:34 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:36 +0200] "GET /ProjekatWP/index.html HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:36 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:36 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:36 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:24:36 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:24 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:24 +0200] "GET /ProjekatWP/rest/comments/getByEmergency/2 HTTP/1.1" 200 1719
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:24 +0200] "GET /ProjekatWP/rest/emergency/2 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:24 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:29 +0200] "POST /ProjekatWP/rest/comments/postComment/2 HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:29 +0200] "GET /ProjekatWP/emergency.html? HTTP/1.1" 200 8185
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:31 +0200] "GET /ProjekatWP/emergency.html?emergencyID=2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:31 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:31 +0200] "GET /ProjekatWP/rest/emergency/2 HTTP/1.1" 200 547
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:31 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:31 +0200] "GET /ProjekatWP/rest/comments/getByEmergency/2 HTTP/1.1" 200 2538
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:35 +0200] "GET /ProjekatWP/adminProfile.html HTTP/1.1" 200 7637
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:35 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:35 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:35 +0200] "GET /ProjekatWP/profileImages/slika.jpg HTTP/1.1" 200 20717
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:36 +0200] "GET /ProjekatWP/activateVolunteer.html HTTP/1.1" 200 4646
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:36 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:36 +0200] "GET /ProjekatWP/rest/users/getBlockedVolunteers HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:37 +0200] "GET /ProjekatWP/blockVolunteer.html HTTP/1.1" 200 4623
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:37 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:37 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:38 +0200] "GET /ProjekatWP/archiveEmergency.html HTTP/1.1" 200 4596
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:38 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:38 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/addTerritory.html HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/deleteTerritory.html HTTP/1.1" 200 4304
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:39 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:40 +0200] "GET /ProjekatWP/editTerritory.html HTTP/1.1" 200 6726
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:40 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:40 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:41 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:41 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:45 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:45 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:45 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:45 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:48 +0200] "POST /ProjekatWP/rest/users/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:48 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:48 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:48 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:48 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:53 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:56 +0200] "POST /ProjekatWP/rest/users/authenticate HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:57 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:57 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:57 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:57 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:59 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:25:59 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:26:00 +0200] "POST /ProjekatWP/rest/users/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:26:00 +0200] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:26:00 +0200] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:26:00 +0200] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [06/Sep/2018:19:26:00 +0200] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
