127.0.0.1 - - [31/Dec/2018:14:48:22 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:36 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:48:42 +0100] "GET /index.html HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [31/Dec/2018:14:49:02 +0100] "GET /AvioSystemWP/index.html HTTP/1.1" 200 145
