127.0.0.1 - - [30/Jan/2019:17:58:40 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [30/Jan/2019:17:59:57 +0100] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:12 +0100] "GET /ProjekatWP/index.html HTTP/1.1" 200 27179
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:12 +0100] "GET /ProjekatWP/css/style.css HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:12 +0100] "GET /ProjekatWP/css/authentication.css HTTP/1.1" 200 2415
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:12 +0100] "GET /ProjekatWP/js/printNavBar.js HTTP/1.1" 200 5076
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:13 +0100] "GET /ProjekatWP/rest/users/getLoggedUser HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:14 +0100] "GET /ProjekatWP/rest/users/getActiveVolunteers HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:14 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:14 +0100] "GET /ProjekatWP/rest/emergency/getActive HTTP/1.1" 200 1930
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:14 +0100] "GET /ProjekatWP/emergencyImages/Bagljas.jpg HTTP/1.1" 200 14982
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:29 +0100] "GET /ProjekatWP/authentication.html HTTP/1.1" 200 9834
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:00:30 +0100] "GET /ProjekatWP/rest/teritory/all HTTP/1.1" 200 237
0:0:0:0:0:0:0:1 - - [30/Jan/2019:18:01:19 +0100] "POST /ProjekatWP/rest/users/uploadImage/neki%20novi/1 HTTP/1.1" 200 -
